,Longitude,Latitude,0m,20m,50m,100m,200m,500m,Cruise,Station,Type,Year,Month,Day,Hour,Minute,Second,Depth,Temp,WOA_September_(15.09),WOA_October_(15.10),Grad/day,Mean_for_station_(certain_date),Anomaly,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,148.94,40.65,22.858314266605,17.424232254709,4.9511632228037,3.2465300126631,3.7050108628097,3.583322295175,Safonov_20,9,Rinko_ASTD,2020,9,22,18,22,0,0,19.409000000000002,22.85831427,17.85403773,-0.166809218,21.69064974,-2.281649741,,,,,
1,149.55,40.93,19.942783327972,17.028781250686,3.7015028625096,1.9290099549995,2.2051417519336,3.1497822363166,Safonov_20,10,Rinko_ASTD,2020,9,22,22,58,0,0,19.524,19.94278333,,,,,17.02878125,3.701502863,1.929009955,2.205141752,3.149782236
2,149.03,41.55,20.516623704545,11.086347313386,7.3963509727216,5.5840501321547,2.9843785704693,3.4898690765219,Safonov_20,39,Rinko_ASTD,2020,10,6,21,31,0,0,13.674000000000001,,,,,,,,,,
3,148.62,41.77,18.061821597844,16.927621811379,8.6834655563822,7.3363347443571,3.9433931834885,2.9619618441417,Safonov_20,38,Rinko_ASTD,2020,10,6,17,35,0,0,12.695,,,,,,,,,,
4,151.18,41.85,17.481781494424,16.018629306041,6.1031391295389,2.018468732255,3.3033136087868,3.4006732123318,Safonov_20,12,Rinko_ASTD,2020,9,23,13,26,0,0,18.662,17.48178149,,,,,16.01862931,6.10313913,2.018468732,3.303313609,3.400673212
5,151.13,41.88,17.658762494057,15.625656154357,5.8434967472513,1.6395777332881,3.4639978258959,3.2982581352874,Safonov_20,11,Rinko_ASTD,2020,9,23,10,37,0,0,18.857,17.65876249,,,,,15.62565615,5.8434967470000005,1.639577733,3.4639978260000004,3.298258135
6,149.9,41.97,15.507213017225,14.040699025772,4.4857108394184,2.051511100862,2.7198003526236,3.1523214079459,Safonov_20,40,Rinko_ASTD,2020,10,7,11,5,0,0,15.897,,,,,,,,,,
7,147.95,42.02,19.074879750896,15.489349961138,8.9544685221123,7.0405436838688,4.2691120017433,2.9086672492579,Safonov_20,37,Rinko_ASTD,2020,10,5,22,38,0,0,12.507,,,,,,,,,,
8,151.7,42.17,17.97153270213,16.39863508265,5.5024846922339,3.0342783899718,3.1671522221469,3.6162450574436,Safonov_20,13,Rinko_ASTD,2020,9,23,20,3,0,0,18.529,17.971532699999997,,,,,16.39863508,5.502484692,3.03427839,3.167152222,3.616245057
9,149.45,42.23,15.410496942416,12.366559329841,3.9574104760791,1.8935574403763,2.5595437762062,3.2422976645332,Safonov_20,41,Rinko_ASTD,2020,10,7,15,54,0,0,14.478,,,,,,,,,,
10,147.68,42.25,19.556785831354,15.856296563264,9.4841850608221,7.2219972209009,4.510602991455,2.9056159735092,Safonov_20,36,Rinko_ASTD,2020,10,5,19,45,0,0,14.07,,,,,,,,,,
11,149.7,42.52,14.023420215827,11.872499500032,4.9227622847035,1.6999532317138,2.4953725995194,3.3183649512094,Safonov_20,42,Rinko_ASTD,2020,10,7,21,32,0,0,15.479000000000001,,,,,,,,,,
12,150.65,42.53,17.956388093942,14.415503955765,4.0861933461607,2.1074128869717,2.6448223245475,3.2075458908198,Safonov_20,43,Rinko_ASTD,2020,10,8,9,57,0,0,15.985,,,,,,,,,,
13,147.35,42.57,17.40393915043,17.21823578883,9.8349079170697,7.7200414433072,3.7768243380019,2.8612135211042,Safonov_20,35,Rinko_ASTD,2020,10,5,16,23,0,0,12.985,,,,,,,,,,
14,152.8,42.7,15.891541659004,14.033176381848,5.5914411967502,3.4733238135523,3.5314076584225,3.3956969904953,Safonov_20,14,Rinko_ASTD,2020,9,24,9,31,0,0,17.837,15.89154166,,,,,14.03317638,5.591441197000001,3.4733238139999996,3.531407658,3.39569699
15,152.78,42.72,15.637963377079,13.871484641574,5.224116400773,3.1620062244431,3.3971462479669,3.3527295752453,Safonov_20,15,Rinko_ASTD,2020,9,24,13,54,0,0,17.64,15.63796338,,,,,13.87148464,5.224116401,3.1620062239999998,3.3971462480000003,3.352729575
16,147.63,42.92,15.735458133207,12.132888046549,5.7125010277893,4.2512802931531,3.0381514054181,2.8294953357908,Safonov_20,34,Rinko_ASTD,2020,10,5,11,8,0,0,14.409,,,,,,,,,,
17,146.15,43.03,17.722749170692,13.067926420134,5.7148869725168,3.5070907585121,2.6078604629606,2.9341537839317,Safonov_20,58,Rinko_ASTD,2020,10,13,21,0,0,0,12.165,,,,,,,,,,
18,148.15,43.08,16.138754869613,12.079621389057,4.0766538011672,2.3507765149778,2.3480367553182,3.0965901018525,Safonov_20,33,Rinko_ASTD,2020,10,4,22,37,0,0,13.517999999999999,,,,,,,,,,
19,150.73,43.08,17.468383039841,13.815621514845,3.4220490961589,1.782498475095,2.4013635089897,3.2863894087352,Safonov_20,44,Rinko_ASTD,2020,10,8,15,56,0,0,14.827,,,,,,,,,,
20,151.5,43.1,17.591839213938,12.189758930963,3.0844320094255,2.0185550018512,2.6311208009909,3.1450447756553,Safonov_20,45,Rinko_ASTD,2020,10,8,20,39,0,0,15.050999999999998,,,,,,,,,,
21,149.5,43.2,16.932033528223,8.1438119071374,2.5695031894209,1.0783831505016,2.2184738114924,3.2531882813114,Safonov_20,32,Rinko_ASTD,2020,10,4,11,31,0,0,14.068,,,,,,,,,,
22,154.18,43.27,15.40977869902,15.978055872607,5.1874888310302,3.2366025875022,3.4520365595534,3.6532266622079,Safonov_20,16,Rinko_ASTD,2020,9,25,16,59,0,0,18.445,15.409778699999999,,,,,15.97805587,5.1874888310000005,3.2366025880000002,3.45203656,3.653226662
23,150.23,43.38,15.079822715443,11.671786130904,2.784071235612,1.5504267603491,2.2517027120932,3.1707138781675,Safonov_20,31,Rinko_ASTD,2020,10,4,0,41,0,0,15.011,,,,,,,,,,
24,154.37,43.55,14.926940019948,16.200154001913,4.169887040474,2.8481542621089,3.3973837456582,3.4737606774228,Safonov_20,17,Rinko_ASTD,2020,9,25,20,5,0,0,19.445999999999998,14.92694002,,,,,16.200154,4.16988704,2.848154262,3.397383746,3.473760677
25,147.47,43.65,12.814058407059,8.7508695010195,3.1217482935801,1.8154665411094,2.0797799886963,2.7054661821217,Safonov_20,57,Rinko_ASTD,2020,10,12,15,45,0,0,11.714,,,,,,,,,,
26,150.7,43.65,14.949887195409,11.311860817648,2.8066642520722,1.5668345583714,2.3190592930287,3.301632038526,Safonov_20,30,Rinko_ASTD,2020,10,3,20,30,0,0,14.134,,,,,,,,,,
27,152.35,43.65,15.140269464902,11.493867907236,4.5587186809928,2.0108444595373,2.7695699112036,3.1982028315984,Safonov_20,47,Rinko_ASTD,2020,10,9,16,29,0,0,14.302999999999999,,,,,,,,,,
28,147.98,43.67,14.594815424925,11.4797649131,2.4754459453116,1.343442183739,2.1513723576509,2.7728424622368,Safonov_20,56,Rinko_ASTD,2020,10,12,12,48,0,0,14.027000000000001,,,,,,,,,,
29,148.88,43.67,16.701289276678,13.357536638641,2.5760250025743,1.1161660475791,2.2380605009991,3.1026590801213,Safonov_20,26,Rinko_ASTD,2020,10,2,16,3,0,0,14.290999999999999,,,,,,,,,,
30,151.5,43.67,17.150072415153,9.5301648500197,3.3041714187894,1.919829134789,2.8764775441284,3.2320019329936,Safonov_20,46,Rinko_ASTD,2020,10,9,9,59,0,0,15.165,,,,,,,,,,
31,149.38,43.85,17.596857230238,11.963703700191,3.0693574518017,1.1398881621833,2.6481527085406,3.2128339795837,Safonov_20,27,Rinko_ASTD,2020,10,2,22,39,0,0,13.527999999999999,,,,,,,,,,
32,150.28,43.92,14.562948162392,11.502042681472,3.2174198119044,2.1614697835828,2.4380704742126,3.5080097527209,Safonov_20,29,Rinko_ASTD,2020,10,3,16,12,0,0,14.04,,,,,,,,,,
33,148.07,44.07,14.627355795232,12.341931126855,2.7589359437403,1.2083510872041,2.126993895672,2.8216127746523,Safonov_20,55,Rinko_ASTD,2020,10,12,9,36,0,0,11.564,,,,,,,,,,
34,148.57,44.07,15.822390288433,14.280136056935,2.9790743385189,1.2951073589493,2.3906136812356,3.076305417779,Safonov_20,25,Rinko_ASTD,2020,10,1,19,42,0,0,13.815,15.82239029,11.6271809,-0.139840313,13.58494528,0.230054719,14.28013606,2.979074339,1.295107359,2.390613681,3.076305418
35,150.05,44.13,15.238100781053,12.560847709329,3.3403967894101,1.8078241977291,2.6573115385683,3.4308909550783,Safonov_20,28,Rinko_ASTD,2020,10,3,13,42,0,0,13.997,,,,,,,,,,
36,148.98,44.15,16.307935253798,14.614921604374,3.3977142333197,1.483342980281,2.6595184040926,3.2738965867455,Safonov_20,54,Rinko_ASTD,2020,10,11,20,39,0,0,13.981,,,,,,,,,,
37,150.72,44.18,13.598285682898,12.269520433674,3.0799615173348,2.0097132513651,2.7554373815314,3.369920293939,Safonov_20,51,Rinko_ASTD,2020,10,10,23,13,0,0,14.337,,,,,,,,,,
38,151.57,44.2,17.17168563216,10.186077883018,3.7571062579619,1.7440541812969,2.9076450699497,3.312771018176,Safonov_20,50,Rinko_ASTD,2020,10,10,16,25,0,0,13.95,,,,,,,,,,
39,152.47,44.2,15.357212852886,12.305387602617,3.9502479195488,1.7130216030419,2.6461585225595,3.2589678728923,Safonov_20,48,Rinko_ASTD,2020,10,9,21,19,0,0,14.025,,,,,,,,,,
40,152.08,44.4,15.908616279451,11.556989236035,3.0168452801858,1.3286196180296,2.6887330135702,3.3104537728778,Safonov_20,49,Rinko_ASTD,2020,10,10,12,23,0,0,14.255999999999998,,,,,,,,,,
41,149.47,44.45,13.77078036555,12.236382128652,3.6497027201781,1.7953321543001,2.7458972019113,3.3838332408868,Safonov_20,53,Rinko_ASTD,2020,10,11,17,4,0,0,13.970999999999998,,,,,,,,,,
42,150.28,44.45,14.733110480193,13.671512036073,3.507013836023,1.8218508219404,2.7534368182791,3.4130938273632,Safonov_20,52,Rinko_ASTD,2020,10,11,12,6,0,0,11.019,,,,,,,,,,
43,150.47,44.58,14.482512012478,12.714561617325,3.7183541604154,1.9002956365418,2.8154417191661,3.3476420152698,Safonov_20,23,Rinko_ASTD,2020,9,30,13,40,0,0,14.279000000000002,14.48251201,,,,,12.71456162,3.71835416,1.900295637,2.815441719,3.347642015
44,152.62,44.67,16.328328906809,13.012849549574,2.8248283565177,1.2841176628335,2.6501183048519,3.2451088322621,Safonov_20,18,Rinko_ASTD,2020,9,26,9,32,0,0,15.450999999999999,16.32832891,,,,,13.01284955,2.824828357,1.284117663,2.650118305,3.2451088319999997
45,148.87,44.73,13.796457095382,13.568877676185,3.84834665793,1.6752004233883,2.6323411425569,3.2250840629096,Safonov_20,24,Rinko_ASTD,2020,9,30,22,29,0,0,12.495,13.7964571,,,,,13.56887768,3.848346658,1.6752004230000002,2.632341143,3.225084063
46,150.52,44.88,11.236780648973,9.7173077023874,3.332751625957,2.1116142671794,2.6019962059934,2.9204918622943,Safonov_20,22,Rinko_ASTD,2020,9,29,19,33,0,0,14.089,11.23678065,,,,,9.717307702000001,3.3327516260000003,2.1116142669999998,2.601996206,2.920491862
47,152.12,44.92,15.311839652487,12.000469323303,3.087372662257,1.4526540907986,2.6081558350803,3.2868731050889,Safonov_20,19,Rinko_ASTD,2020,9,26,14,5,0,0,15.549000000000001,15.31183965,,,,,12.00046932,3.087372662,1.4526540909999999,2.608155835,3.286873105
48,149.53,45.0,9.3911211310743,8.9202600845806,3.8223901250422,2.3109527579922,2.5144750305565,3.2932758172667,Safonov_20,20,Rinko_ASTD,2020,9,29,9,22,0,0,12.533,9.386294816,,,,,8.908801155,3.82175436,2.311237371,2.510613662,3.285815157
49,149.82,45.17,9.1029944922918,8.1617464821124,3.7138035980749,2.4267382894876,2.4853833177553,3.1033278762204,Safonov_20,21,Rinko_ASTD,2020,9,29,14,0,0,0,9.503,9.102994492,,,,,8.161746482,3.713803598,2.426738289,2.4853833180000002,3.1033278760000003
